title,body,accetto,non accetto
Il traffico e l'arbre magique,"Puoi risolvere il problema del traffico per sempre, ma non solo: in qualunque posto arrivi trovi sempre parcheggio, in ogni città. In cambio, per tutta la vita e in qualunque contesto, devi portare al collo un arbre magique. Se le persone ti chiedono e/o ti prendono in giro, devi far finta di non averlo. Ovviamente l’arbre magique rimane su anche durante I rapporti sessuali"
Guerra e bonsai,"Hai la possibilità di abolire da un giorno all’altro tutti I conflitti di genere, razziali, religiosi al mondo. Gli esseri umani vivono in perfetta armonia. Devi però coltivare e non far morire un bonsai ginseng. Se lo dovessi far morire, scoppierebbero i più feroci conflitti."
La blatta,"Puoi essere immune a qualsiasi patologia grave del tuo corpo, ma devi convivere con una blatta gigante volante immortale, grande come il palmo di una mano, che vive nella tua stanza. Se qualcuno uccide la blatta, muori anche tu."
Lacci,"Vinci il premio Pulitzer, ma dovrai vivere per sempre con le scarpe slacciate e non potrai comprare scarpe senza lacci. I lacci devono essere lunghi e strisciare vistosamente per terra, così che le persone continuerebbero a dirti che hai le scarpe slacciate."
Barry White,"Un giorno ti svegli e hai la capacità di non ingrassare nonostante la quantità di cibo che ingerisci. Lo stesso giorno vai allo specchio e ti accorgi, parlando con te stesso, che hai la voce di Barry White"
La petite mort,"Ogni volta che farai sesso avrai un orgasmo sempre migliore, ogni volta sempre più intenso e la persona con cui lo farai, proverà lo stesso orgasmo, ma vivrà un anno in meno."
Una sacher al giorno,"Hai vinto la lotteria Italia, sono 100 miliardi di euro. Dal momento della vittoria devi mangiare una torta sacher al giorno, per forza, anche se i medici ti dicono che devi smettere di mangiarne per non morire."
Perfetti sconosciuti,"Puoi ricevere uno stipendio mensile di 5000 euro, senza dover fare niente, se non una cosa: devi guardare ogni giorno la commedia di Paolo Genovese “Perfetti sconosciuti” alle 21. Non puoi saltare neanche un minuto, se ti addormenti ti revocano lo stipendio."
Il clima in una stanza,"Puoi fermare la crisi climatica, la fermi ovunque tranne che nella tua stanza. Tutti gli effetti del cambiamento climatico sono lì."
Wladimiro,"Se cambi il tuo nome in Wladimiro, ogni giorno ti ritrovi 10€ nelle tasche"
La mia Lazio,"Paolo Genovese ha dichiarato che in ogni suo film c’è almeno un riferimento alla Lazio. Puoi provare a trovare I riferimenti alla Lazio in ogni film in cambio di 5 milioni di euro, ma se ne perdi uno ti cade un braccio."
Il cricket,"Per il resto della tua vita non avrai più nessuno problema medico, di nessuno tipo. L’unica condizione è che tu non possa mai più praticare altri sport all’infuori del cricket e che tu debba praticare il cricket almeno quattro volte al mese."
La casa e il sale,"Hai una casa di proprietà, stupenda, ma devi stare molto attento a non mangiare il sale: ogni chicco che consumi ti toglie cento euro dal tuo conto (anche un bagno nel mare è pericoloso)."
House of femori,"Puoi decidere chi mettere al governo in ogni paese del mondo, ma ogni volta che due persone a tua scelta dicono la parola “bagno”, ti rompi un femore. Non puoi avvisare quelle due persone."
Sanità privata,"Ti trasferisci in Svizzera e hai un lavoro con cui guadagni 11000 euro netti al mese, ma la sanità è privata e qualsiasi prestazione medica ti costa minimo 25000 euro."
La Grande Bellezza,"Puoi avere la casa di Jep Gambardella (de La Grande Bellezza), ma devi tenere in salone una gigantografia nuda di te."
Primato Nazionale,"Viene stanziato un grande finanziamento all’editoria, specialmente rivolto ai giornali, tornano i lettori e c’è grande fermento. Tuttavia i rapporti con i partiti diventano più stretti e devi diventare capo redattore del Primato Nazionale. Ovviamente la linea editoriale deve rimanere la stessa."
Acqua e lumache,"Dio risolve il problema della siccità, il costo è che non sarà più possibile andare in spiaggia per sempre, perché quelle di sabbia diventano fittissime di lumache, mentre gli scogli pungono tantissimo. Nessuno potrà usufruire della classica giornata al mare, a parte i ricchi che possiedono una barca."
